Date,Total Yield [kWh],Inverter 1 [kWh]
2018-11-13,67.7,67.7
2018-11-14,176.9,176.9
2018-11-15,183.5,183.5
2018-11-16,237.2,237.2
2018-11-17,240.5,240.5
2018-11-18,197.7,197.7
2018-11-19,159.3,159.3
2018-11-20,183.0,183.0
2018-11-21,228.5,228.5
2018-11-22,189.2,189.2
2018-11-23,225.9,225.9
2018-11-24,223.1,223.1
2018-11-25,204.0,204.0
2018-11-26,200.6,200.6
2018-11-27,124.3,124.3
2018-11-28,133.1,133.1
2018-11-29,178.9,178.9
2018-11-30,200.8,200.8
2018-12-01,202.6,202.6
2018-12-02,161.8,161.8
2018-12-03,21.8,21.8
2019-01-10,91.4,91.4
2019-01-11,173.2,173.2
2019-01-12,187.8,187.8
2019-01-13,242.4,242.4
2019-01-14,320.2,320.2
2019-01-15,191.5,191.5
2019-01-16,231.7,231.7
2019-01-17,227.1,227.1
2019-01-18,256.7,256.7
2019-01-19,246.2,246.2
2019-01-20,138.9,138.9
2019-01-21,146.4,146.4
2019-01-22,85.0,85.0
2019-01-23,297.0,297.0
2019-01-31,119.0,119.0
2019-02-01,190.3,190.3
2019-02-02,246.5,246.5
2019-02-03,227.3,227.3
2019-02-04,205.9,205.9
2019-02-05,191.5,191.5
2019-02-06,220.7,220.7
2019-02-07,8.3,8.3
2019-02-08,305.0,305.0
2019-02-09,278.4,278.4
2019-02-10,268.7,268.7
2019-02-11,261.9,261.9
2019-02-12,141.9,141.9
2019-02-13,220.1,220.1
2019-02-14,117.1,117.1
2019-02-15,143.5,143.5
2019-02-16,235.5,235.5
2019-02-17,195.4,195.4
2019-02-18,144.3,144.3
2019-02-19,251.7,251.7
2019-02-20,95.0,95.0
2019-02-21,261.7,261.7
2019-02-22,216.6,216.6
2019-02-23,361.4,361.4
2019-02-24,361.7,361.7
2019-02-25,344.7,344.7
2019-02-26,148.8,148.8
2019-02-27,318.2,318.2
2019-02-28,338.6,338.6
2019-03-01,336.4,336.4
2019-03-02,82.6,82.6
2019-03-03,293.8,293.8
2019-03-04,276.0,276.0
2019-03-05,345.8,345.8
2019-03-06,389.1,389.1
2019-03-07,380.2,380.2
2019-03-08,137.6,137.6
2019-03-09,386.9,386.9
2019-03-10,380.0,380.0
2019-03-11,97.9,97.9
2019-03-12,378.8,378.8
2019-03-13,118.1,118.1
2019-03-14,157.8,157.8
2019-03-15,372.0,372.0
2019-03-16,348.2,348.2
2019-03-17,382.3,382.3
2019-03-18,332.9,332.9
2019-03-19,366.9,366.9
2019-03-20,324.5,324.5
2019-03-21,355.8,355.8
2019-03-22,407.5,407.5
2019-03-23,380.0,380.0
2019-03-24,303.3,303.3
2019-03-25,80.5,80.5
2019-03-26,376.7,376.7
2019-03-27,325.9,325.9
2019-03-28,358.5,358.5
2019-03-29,330.1,330.1
2019-03-30,341.9,341.9
2019-03-31,415.3,415.3
2019-04-01,358.2,358.2
2019-04-02,344.3,344.3
2019-04-03,282.6,282.6
2019-04-04,331.6,331.6
2019-04-05,331.4,331.4
2019-04-06,330.7,330.7
2019-04-07,324.9,324.9
2019-04-08,203.8,203.8
2019-04-09,369.0,369.0
2019-04-10,332.5,332.5
2019-04-11,362.4,362.4
2019-04-12,314.5,314.5
2019-04-13,142.5,142.5
2019-04-14,81.1,81.1
2019-04-15,117.7,117.7
2019-04-16,194.7,194.7
2019-04-17,174.3,174.3
2019-04-18,351.1,351.1
2019-04-19,383.3,383.3
2019-04-20,101.7,101.7
2019-04-21,84.1,84.1
2019-04-22,36.8,36.8
2019-04-23,26.4,26.4
2019-04-24,34.7,34.7
2019-04-25,174.1,174.1
2019-04-26,143.3,143.3
2019-04-27,43.3,43.3
2019-04-28,84.7,84.7
2019-04-29,149.0,149.0
2019-04-30,335.6,335.6
2019-05-01,331.8,331.8
2019-05-02,253.9,253.9
2019-05-03,357.3,357.3
2019-05-04,389.1,389.1
2019-05-05,326.5,326.5
2019-05-06,387.3,387.3
2019-05-07,356.1,356.1
2019-05-08,334.6,334.6
2019-05-09,319.1,319.1
2019-05-10,268.9,268.9
2019-05-11,277.6,277.6
2019-05-12,347.5,347.5
2019-05-13,287.8,287.8
2019-05-14,346.1,346.1
2019-05-15,240.7,240.7
2019-05-16,247.8,247.8
2019-05-17,282.2,282.2
2019-05-18,351.6,351.6
2019-05-19,359.3,359.3
2019-05-20,316.2,316.2
2019-05-21,369.1,369.1
2019-05-22,300.5,300.5
2019-05-23,266.4,266.4
2019-05-24,312.0,312.0
2019-05-25,393.3,393.3
2019-05-26,387.4,387.4
2019-05-27,373.8,373.8
2019-05-28,391.6,391.6
2019-05-29,349.2,349.2
2019-05-30,314.8,314.8
2019-05-31,340.5,340.5
2019-06-01,315.3,315.3
2019-06-02,322.9,322.9
2019-06-03,316.1,316.1
2019-06-04,307.4,307.4
2019-06-05,301.9,301.9
2019-06-06,247.4,247.4
2019-06-07,363.2,363.2
2019-06-08,347.9,347.9
2019-06-09,347.8,347.8
2019-06-10,345.1,345.1
2019-06-11,328.3,328.3
2019-06-12,247.0,247.0
2019-06-13,329.4,329.4
2019-06-14,359.4,359.4
2019-06-15,311.3,311.3
2019-06-16,240.3,240.3
2019-06-17,339.3,339.3
2019-06-18,159.0,159.0
2019-06-19,337.2,337.2
2019-06-20,276.8,276.8
2019-06-21,268.0,268.0
2019-06-22,348.1,348.1
2019-06-23,336.9,336.9
2019-06-24,259.0,259.0
2019-06-25,276.5,276.5
2019-06-26,357.9,357.9
2019-06-27,279.0,279.0
2019-06-28,350.0,350.0
2019-06-29,328.5,328.5
2019-06-30,297.2,297.2
2019-07-01,322.8,322.8
2019-07-02,325.0,325.0
2019-07-03,297.9,297.9
2019-07-04,200.0,200.0
2019-07-05,325.0,325.0
2019-07-06,201.9,201.9
2019-07-07,354.5,354.5
2019-07-08,321.6,321.6
2019-07-09,261.9,261.9
2019-07-10,136.4,136.4
2019-07-11,226.8,226.8
2019-07-12,158.9,158.9
2019-07-13,247.0,247.0
2019-07-14,52.0,52.0
2019-07-15,165.9,165.9
2019-07-16,161.6,161.6
2019-07-17,269.6,269.6
2019-07-18,313.7,313.7
2019-07-19,251.9,251.9
2019-07-20,292.0,292.0
2019-07-21,346.3,346.3
2019-07-22,320.4,320.4
2019-07-23,306.2,306.2
2019-07-24,345.0,345.0
2019-07-25,64.9,64.9
2019-07-26,189.1,189.1
2019-07-27,166.2,166.2
2019-07-28,271.1,271.1
2019-07-29,368.4,368.4
2019-07-30,304.1,304.1
2019-07-31,129.6,129.6
2019-08-01,255.3,255.3
2019-08-02,101.7,101.7
2019-08-03,294.8,294.8
2019-08-04,316.8,316.8
2019-08-05,322.7,322.7
2019-08-06,243.2,243.2
2019-08-07,272.0,272.0
2019-08-08,295.2,295.2
2019-08-09,220.1,220.1
2019-08-10,273.1,273.1
2019-08-11,304.3,304.3
2019-08-12,165.2,165.2
2019-08-13,341.9,341.9
2019-08-14,215.6,215.6
2019-08-15,188.1,188.1
2019-08-16,233.5,233.5
2019-08-17,140.6,140.6
2019-08-18,293.6,293.6
2019-08-19,284.5,284.5
2019-08-20,368.8,368.8
2019-08-21,350.7,350.7
2019-08-22,305.3,305.3
2019-08-23,342.4,342.4
2019-08-24,228.4,228.4
2019-08-25,178.5,178.5
2019-08-26,344.4,344.4
2019-08-27,348.3,348.3
2019-08-28,352.8,352.8
2019-08-29,176.7,176.7
2019-08-30,269.09,269.09
2019-08-31,293.3,293.3
2019-09-01,209.2,209.2
2019-09-02,287.0,287.0
2019-09-03,324.3,324.3
2019-09-04,240.2,240.2
2019-09-05,142.2,142.2
2019-09-06,288.4,288.4
2019-09-07,263.7,263.7
2019-09-08,269.1,269.1
2019-09-09,332.4,332.4
2019-09-10,292.9,292.9
2019-09-11,286.5,286.5
2019-09-12,252.9,252.9
2019-09-13,206.6,206.6
2019-09-14,273.1,273.1
2019-09-15,250.8,250.8
2019-09-16,272.7,272.7
2019-09-17,320.7,320.7
2019-09-18,317.6,317.6
2019-09-19,281.1,281.1
2019-09-20,313.5,313.5
2019-09-21,301.8,301.8
2019-09-22,294.5,294.5
2019-09-23,328.41,328.41
2019-09-24,308.3,308.3
2019-09-25,287.9,287.9
2019-09-26,241.4,241.4
2019-09-27,256.1,256.1
2019-09-28,217.9,217.9
2019-09-29,123.91,123.91
2019-09-30,176.3,176.3
2019-10-01,226.9,226.9
2019-10-02,301.9,301.9
2019-10-03,282.1,282.1
2019-10-04,206.4,206.4
2019-10-05,311.3,311.3
2019-10-06,267.1,267.1
2019-10-07,211.8,211.8
2019-10-08,331.4,331.4
2019-10-09,297.2,297.2
2019-10-10,303.0,303.0
2019-10-11,299.0,299.0
2019-10-12,284.9,284.9
2019-10-13,276.3,276.3
2019-10-14,259.8,259.8
2019-10-15,263.9,263.9
2019-10-16,226.1,226.1
2019-10-17,190.0,190.0
2019-10-18,223.5,223.5
2019-10-19,255.9,255.9
2019-10-20,318.7,318.7
2019-10-21,320.9,320.9
2019-10-22,321.8,321.8
2019-10-23,283.9,283.9
2019-10-24,233.6,233.6
2019-10-25,213.2,213.2
2019-10-26,196.7,196.7
2019-10-27,239.0,239.0
2019-10-28,207.6,207.6
2019-10-29,150.0,150.0
2019-10-30,141.6,141.6
2019-10-31,183.5,183.5
2019-11-01,175.1,175.1
2019-11-02,77.9,77.9
2019-11-03,130.0,130.0
2019-11-04,247.6,247.6
