Date,Max,Min,Temp,Prcp,Cloud Cover,Conditions
2019-02-01,20.1,9.2,14.3,1.75,67.1,"Rain, Partially cloudy"
2019-02-02,19.7,7.1,12.4,0.0,12.0,Clear
2019-02-03,19.2,8.1,12.3,0.0,0.0,Clear
2019-02-04,19.5,5.1,12.1,0.0,40.7,Partially cloudy
2019-02-05,23.1,9.7,16.2,0.0,74.2,Partially cloudy
2019-02-06,23.1,9.1,16.5,0.0,63.0,Partially cloudy
2019-02-07,17.1,10.4,15.0,49.23,69.3,"Rain, Partially cloudy"
2019-02-08,18.1,7.1,12.3,36.93,25.3,"Rain, Partially cloudy"
2019-02-09,21.1,8.1,14.4,0.0,6.6,Clear
2019-02-10,18.6,9.2,14.5,0.0,67.9,Partially cloudy
2019-02-11,21.1,9.1,15.5,0.0,66.9,Partially cloudy
2019-02-12,21.1,11.1,16.4,0.0,76.6,Overcast
2019-02-13,23.1,11.1,17.4,0.0,64.1,Partially cloudy
2019-02-14,21.1,14.7,17.5,4.57,78.1,"Rain, Overcast"
2019-02-15,21.1,14.1,16.7,16.53,84.7,"Rain, Overcast"
2019-02-16,22.1,13.1,16.7,3.0,54.0,"Rain, Partially cloudy"
2019-02-17,21.1,10.1,15.3,0.0,58.1,Partially cloudy
2019-02-18,19.0,11.1,14.6,4.8,60.5,"Rain, Partially cloudy"
2019-02-19,22.1,12.7,17.0,3.53,71.9,"Rain, Partially cloudy"
2019-02-20,22.1,13.1,17.1,1.69,86.8,"Rain, Overcast"
2019-02-21,25.1,14.7,19.0,5.1,72.9,"Rain, Partially cloudy"
2019-02-22,20.1,12.4,16.7,10.2,46.3,"Rain, Partially cloudy"
2019-02-23,21.3,10.7,15.4,0.0,37.4,Partially cloudy
2019-02-24,22.1,10.1,14.5,0.0,44.3,Partially cloudy
2019-02-25,21.8,8.4,14.8,0.0,21.3,Clear
2019-02-26,20.7,10.4,15.1,3.3,51.7,"Rain, Partially cloudy"
2019-02-27,17.3,10.1,13.0,28.17,62.3,"Rain, Partially cloudy"
2019-02-28,19.8,8.0,13.2,0.0,15.9,Clear
2019-03-01,21.4,8.9,14.8,0.0,28.5,Partially cloudy
2019-03-02,18.1,12.3,14.6,8.0,91.4,"Rain, Overcast"
2019-03-03,21.1,12.1,16.8,12.89,59.3,"Rain, Partially cloudy"
2019-03-04,22.0,13.1,16.5,1.0,61.5,"Rain, Partially cloudy"
2019-03-05,21.4,12.0,16.5,0.0,9.9,Clear
2019-03-06,23.6,12.4,17.0,0.0,9.7,Clear
2019-03-07,24.3,12.1,17.5,0.0,13.6,Clear
2019-03-08,21.1,12.7,16.1,0.79,62.5,"Rain, Partially cloudy"
2019-03-09,23.7,11.4,17.3,0.0,0.2,Clear
2019-03-10,25.6,12.1,18.1,0.0,0.0,Clear
2019-03-11,18.6,13.1,15.8,12.48,61.2,"Rain, Partially cloudy"
2019-03-12,25.6,10.7,17.4,6.0,10.4,Rain
2019-03-13,19.4,13.1,15.5,0.0,60.8,Partially cloudy
2019-03-14,19.1,13.1,15.6,3.82,57.9,"Rain, Partially cloudy"
2019-03-15,25.1,10.2,19.5,3.0,11.3,Rain
2019-03-16,26.1,12.8,20.2,0.0,57.1,Partially cloudy
2019-03-17,26.7,14.1,20.1,0.0,47.5,Partially cloudy
2019-03-18,27.1,13.1,20.4,0.0,38.8,Partially cloudy
2019-03-19,29.1,13.1,21.5,0.0,21.5,Clear
2019-03-20,29.1,16.3,22.7,0.0,43.3,Partially cloudy
2019-03-21,29.1,15.1,22.2,4.0,39.8,"Rain, Partially cloudy"
2019-03-22,27.1,14.4,21.5,0.0,36.2,Partially cloudy
2019-03-23,29.1,14.8,21.8,0.0,27.6,Partially cloudy
2019-03-24,26.4,14.8,20.7,0.0,49.2,Partially cloudy
2019-03-25,22.1,15.1,18.3,0.2,65.9,"Rain, Partially cloudy"
2019-03-26,28.1,13.1,21.2,1.0,12.9,Rain
2019-03-27,30.1,15.7,20.9,0.0,54.9,Partially cloudy
2019-03-28,31.6,17.7,24.1,0.0,26.5,Partially cloudy
2019-03-29,32.0,17.9,25.5,0.0,46.9,Partially cloudy
2019-03-30,33.1,18.1,24.7,0.0,30.3,Partially cloudy
2019-03-31,32.0,18.4,24.5,0.0,11.1,Clear
2019-04-01,31.6,17.1,24.0,0.0,3.7,Clear
2019-04-02,32.1,16.4,24.2,0.0,12.2,Clear
2019-04-03,33.8,18.1,25.3,0.0,26.4,Partially cloudy
2019-04-04,35.0,19.8,27.0,0.0,7.6,Clear
2019-04-05,34.8,20.4,27.4,0.0,23.9,Clear
2019-04-06,36.0,21.9,28.3,0.0,10.6,Clear
2019-04-07,33.4,21.1,27.5,0.0,38.2,Partially cloudy
2019-04-08,30.9,21.7,25.2,9.0,30.8,"Rain, Partially cloudy"
2019-04-09,34.6,19.1,26.2,11.0,17.3,Rain
2019-04-10,37.0,22.3,28.9,0.0,22.9,Clear
2019-04-11,36.1,21.1,28.6,0.0,27.2,Partially cloudy
2019-04-12,35.0,22.7,27.6,0.0,34.6,Partially cloudy
2019-04-13,33.3,20.4,27.8,0.2,52.3,"Rain, Partially cloudy"
2019-04-14,37.1,19.1,28.4,0.0,50.9,Partially cloudy
2019-04-15,38.0,21.3,29.6,0.0,31.4,Partially cloudy
2019-04-16,30.7,20.2,25.1,4.54,85.1,"Rain, Overcast"
2019-04-17,27.0,15.7,21.1,54.78,88.0,"Rain, Overcast"
2019-04-18,29.0,15.8,23.1,28.73,51.5,"Rain, Partially cloudy"
2019-04-19,32.3,17.1,25.0,0.0,22.3,Clear
2019-04-20,34.0,20.1,26.7,0.0,23.9,Clear
2019-04-21,35.6,20.4,28.0,0.0,9.8,Clear
2019-04-22,37.6,21.1,30.3,0.0,13.9,Clear
2019-04-23,39.0,23.1,30.3,0.0,4.8,Clear
2019-04-24,39.1,24.9,31.0,0.0,26.6,Partially cloudy
2019-04-25,38.3,24.1,30.7,0.8,54.9,"Rain, Partially cloudy"
2019-04-26,38.4,22.1,31.5,0.0,20.3,Clear
2019-04-27,39.0,22.8,31.3,0.0,6.9,Clear
2019-04-28,40.0,23.3,31.8,0.0,3.9,Clear
2019-04-29,39.8,22.5,30.4,0.0,3.6,Clear
2019-04-30,40.8,23.1,32.6,0.0,33.9,Partially cloudy
2019-05-01,38.9,27.8,33.0,1.16,18.8,Rain
2019-05-02,35.8,24.1,28.5,16.81,50.1,"Rain, Partially cloudy"
2019-05-03,37.6,21.1,29.4,0.68,27.2,"Rain, Partially cloudy"
2019-05-04,37.6,20.1,29.8,0.0,9.2,Clear
2019-05-05,39.1,21.1,30.8,0.0,10.4,Clear
2019-05-06,40.0,22.4,31.2,0.0,0.0,Clear
2019-05-07,41.0,21.9,31.8,0.0,6.6,Clear
2019-05-08,41.3,23.1,32.6,0.0,6.1,Clear
2019-05-09,41.3,23.1,33.0,0.0,20.4,Clear
2019-05-10,41.0,25.1,32.7,6.81,60.6,"Rain, Partially cloudy"
